league,Team,Conf/Div,Win Total,Over,Under,Imp P(Over),Imp P(Under),P(Over) devig,E[Wins],Brand,Popularity,Avg Capture,OOU Games,On-Field EV,Off-Field EV,IPO EV,Contested Off-Field %,Discount,Listed IPO
NFL,Los Angeles Rams,NFC West,11.5,-140,115,0.58333333333333337,0.46511627906976744,0.55637707948243986,11.882833143804826,68,68.760000000000005,0.5272,0,59.614165719024129,22.405999999999999,82.020165719024135,0.27317672189002962,0.01,81.2
NFL,Baltimore Ravens,AFC North,11.5,118,-140,0.45871559633027525,0.58333333333333337,0.44020542920029349,11.093789321013695,76,71.7,0.53410000000000002,0,55.668946605068477,22.699249999999999,78.368196605068476,0.28964874762132681,1.1572459913504788E-2,77.460000000000008
NFL,Buffalo Bills,AFC East,10.5,-145,120,0.59183673469387754,0.45454545454545453,0.56560283687943258,10.946013376456298,80,73.760000000000005,0.54849999999999999,0,54.930066882281494,23.311250000000001,78.241316882281495,0.29794040960574708,1.2364002271410372E-2,77.27
NFL,Detroit Lions,NFC North,10.5,-130,110,0.56521739130434778,0.47619047619047616,0.54274353876739567,10.789839544028208,82,74.59,0.53890000000000005,0,54.149197720141046,22.903250000000003,77.052447720141046,0.29724234177720005,1.2297363007047646E-2,76.100000000000009
NFL,Seattle Seahawks,NFC West,10.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,10.719980024263867,70,67.22,0.52090000000000003,0,53.79990012131934,22.138250000000003,75.938150121319339,0.29153001442136495,1.1752050249139508E-2,75.05
NFL,San Francisco 49ers,NFC West,10.5,105,-125,0.48780487804878048,0.55555555555555558,0.46753246753246752,10.280019975736135,88,76.989999999999995,0.55830000000000002,0,51.60009987868068,23.72775,75.327849878680681,0.31499306084289869,1.3991890117557335E-2,74.27
NFL,Kansas City Chiefs,AFC West,10.5,115,-135,0.46511627906976744,0.57446808510638303,0.44740599714421703,10.143011844178975,95,80.87,0.56769999999999998,0,50.915059220894875,24.12725,75.042309220894879,0.32151529251290656,1.4614518324614603E-2,73.95
NFL,Philadelphia Eagles,NFC East,10.5,120,-145,0.45454545454545453,0.59183673469387754,0.43439716312056736,10.053986623543702,90,77.66,0.55200000000000005,0,50.469933117718512,23.46,73.929933117718519,0.31732748848351694,1.4214740296747814E-2,72.88
NFL,New England Patriots,AFC East,10.5,120,-145,0.45454545454545453,0.59183673469387754,0.43439716312056736,10.053986623543702,78,70.459999999999994,0.53590000000000004,0,50.469933117718512,22.775750000000002,73.245683117718514,0.31095006600451008,1.3605935929676632E-2,72.25
NFL,Cincinnati Bengals,AFC North,10.5,115,-140,0.46511627906976744,0.58333333333333337,0.44362292051756003,10.117166856195174,72,67.010000000000005,0.51529999999999998,0,50.785834280975877,21.90025,72.686084280975876,0.30129907556090418,1.2684628748292515E-2,71.760000000000005
NFL,Green Bay Packers,NFC North,9.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,9.719980024263867,88,75.67,0.54290000000000005,0,48.79990012131934,23.073250000000002,71.873150121319341,0.32102739285885162,1.4567942228855079E-2,70.83
NFL,Dallas Cowboys,NFC East,9.5,105,-125,0.48780487804878048,0.55555555555555558,0.46753246753246752,9.2800199757361348,100,81.84,0.56640000000000001,0,46.60009987868068,24.071999999999999,70.672099878680683,0.34061532119921745,1.6437853835738175E-2,69.510000000000005
NFL,Denver Broncos,AFC West,9.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,9.719980024263867,72,66.069999999999993,0.51190000000000002,0,48.79990012131934,21.755750000000003,70.555650121319346,0.30834879931786224,1.3357612641708635E-2,69.61
NFL,Houston Texans,AFC South,9.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,9.719980024263867,65,61.87,0.51180000000000003,0,48.79990012131934,21.7515,70.551400121319347,0.30830713440975488,1.3353635207550419E-2,69.61
NFL,Los Angeles Chargers,AFC West,9.5,-140,115,0.58333333333333337,0.46511627906976744,0.55637707948243986,9.8828331438048256,60,59.25,0.48170000000000002,0,49.614165719024129,20.472250000000003,70.086415719024131,0.29210011369497174,1.1806473321874369E-2,69.260000000000005
NFL,Chicago Bears,NFC North,9.5,105,-125,0.48780487804878048,0.55555555555555558,0.46753246753246752,9.2800199757361348,78,68.64,0.51590000000000003,0,46.60009987868068,21.925750000000001,68.525849878680674,0.31996319693688907,1.446635148010935E-2,67.53
NFL,Jacksonville Jaguars,AFC South,8.5,-140,115,0.58333333333333337,0.46511627906976744,0.55637707948243986,8.8828331438048256,50,50.9,0.4577,0,44.614165719024129,19.452249999999999,64.066415719024121,0.30362631937006856,1.2906793141340423E-2,63.24
NFL,Minnesota Vikings,NFC North,8.5,-110,-110,0.52380952380952384,0.52380952380952384,0.5,8.5,70,62,0.48759999999999998,0,42.7,20.722999999999999,63.423000000000002,0.32674266433312832,1.51135360395193E-2,62.46
NFL,Pittsburgh Steelers,AFC North,8.5,115,-140,0.46511627906976744,0.58333333333333337,0.44362292051756003,8.1171668561951744,87,71.3,0.53249999999999997,0,40.785834280975877,22.631249999999998,63.417084280975871,0.35686361579996223,1.7988955827640866E-2,62.28
NFL,Tampa Bay Buccaneers,NFC South,8.5,110,-130,0.47619047619047616,0.56521739130434778,0.45725646123260438,8.210160455971792,60,55.32,0.48039999999999999,0,41.250802279858959,20.416999999999998,61.667802279858961,0.33108038952554503,1.5527625908740135E-2,60.71
NFL,New Orleans Saints,NFC South,7.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,7.7199800242638661,65,57.16,0.48949999999999999,0,38.799900121319332,20.803750000000001,59.603650121319333,0.34903483188790163,1.724160094403257E-2,58.58
NFL,Indianapolis Colts,AFC South,7.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,7.7199800242638661,62,55.36,0.48099999999999998,0,38.799900121319332,20.442499999999999,59.242400121319335,0.34506535788787929,1.6862665235422365E-2,58.24
NFL,New York Giants,NFC East,7.5,-110,-110,0.52380952380952384,0.52380952380952384,0.5,7.5,75,62.65,0.49259999999999998,0,37.700000000000003,20.935499999999998,58.6355,0.35704479368300768,1.8006251512030266E-2,57.58
NFL,Washington Commanders,NFC East,7.5,-125,105,0.55555555555555558,0.48780487804878048,0.53246753246753253,7.7199800242638661,62,55.36,0.45839999999999997,0,38.799900121319332,19.481999999999999,58.281900121319332,0.33427187444895173,1.5832292874933415E-2,57.36
NFL,Atlanta Falcons,NFC South,7.5,115,-140,0.46511627906976744,0.58333333333333337,0.44362292051756003,7.1171668561951744,62,53.95,0.47339999999999999,0,35.785834280975877,20.119499999999999,55.905334280975879,0.35988515691330902,1.8277399541562281E-2,54.88
NFL,Carolina Panthers,NFC South,7.5,110,-130,0.47619047619047616,0.56521739130434778,0.45725646123260438,7.210160455971792,55,49.97,0.45219999999999999,0,36.250802279858959,19.218499999999999,55.469302279858958,0.34647091652671252,1.6996843305059919E-2,54.53
NFL,Tennessee Titans,AFC South,6.5,-105,-115,0.51219512195121952,0.53488372093023251,0.48916576381365112,6.4266659970613293,55,48.12,0.44230000000000003,0,32.333329985306648,18.797750000000001,51.131079985306648,0.36763843058667722,1.9017546032873242E-2,50.160000000000004
NFL,Las Vegas Raiders,AFC West,6.5,125,-150,0.44444444444444442,0.6,0.42553191489361708,5.9930446812244815,72,57.3,0.47239999999999999,0,30.165223406122408,20.076999999999998,50.242223406122406,0.39960413052805821,2.2069070027850971E-2,49.13
NFL,Cleveland Browns,AFC North,5.5,-120,100,0.54545454545454541,0.5,0.52173913043478259,5.6472010700898725,68,54.09,0.45590000000000003,0,28.43600535044936,19.37575,47.81175535044936,0.40525075596953369,2.2608110720121505E-2,46.730000000000004
NFL,New York Jets,AFC East,5.5,-110,-110,0.52380952380952384,0.52380952380952384,0.5,5.5,65,51.94,0.45150000000000001,0,27.7,19.188749999999999,46.888750000000002,0.40923995627949133,2.2988929550584521E-2,45.81
NFL,Miami Dolphins,AFC East,4.5,120,-145,0.45454545454545453,0.59183673469387754,0.43439716312056736,4.0539866235437021,70,51.54,0.44940000000000002,0,20.469933117718508,19.099500000000003,39.569433117718511,0.4826831848507725,0.03,38.380000000000003
NFL,Arizona Cardinals,NFC West,3.5,-145,120,0.59183673469387754,0.45454545454545453,0.56560283687943258,3.9460133764562975,55,42.28,0.39389999999999997,0,19.930066882281487,16.740749999999998,36.670816882281486,0.45651423729501789,2.7501848183016847E-2,35.660000000000004
NCAA,Texas Tech,Big 12,10.5,-220,170,0.6875,0.37037037037037035,0.64989059080962808,11.347055222715312,56,71.42,0.59450000000000003,1,56.73527611357656,18.848750000000003,75.584026113576556,0.2162990097330024,1.9662104339107724E-2,74.100000000000009
NCAA,Notre Dame,Independent,11.5,150,-200,0.4,0.66666666666666663,0.375,10.798993399278375,94,92.4,0.68169999999999997,0,53.994966996391874,20.450999999999997,74.445966996391874,0.27470930696610041,2.2813119616354335E-2,72.75
NCAA,Miami Florida,ACC,10.5,-125,100,0.55555555555555558,0.5,0.52631578947368418,10.64522598722685,74,79.88,0.63139999999999996,1,53.226129936134249,19.863499999999998,73.089629936134244,0.23756448096908184,2.0809296322660327E-2,71.570000000000007
NCAA,North Dakota State,FCS-Universe,9.5,175,-235,0.36363636363636365,0.70149253731343286,0.3414012738853503,8.6009880321024603,30,46.67,0.52539999999999998,10,43.004940160512305,27.627000000000002,70.631940160512301,3.7192805323343799E-2,0,70.63
NCAA,Ohio State,Big Ten,9.5,-185,140,0.64912280701754388,0.41666666666666669,0.60905349794238683,10.109076539390438,100,93.7,0.63290000000000002,1,50.545382696952188,19.90475,70.450132696952181,0.24705063473575212,2.1321038547182869E-2,68.95
NCAA,Georgia,SEC,9.5,-200,154,0.66666666666666663,0.39370078740157483,0.62871287128712861,10.222581810690341,95,91.08,0.60299999999999998,1,51.112909053451709,19.0825,70.195409053451712,0.23623339793308876,2.0737489412228763E-2,68.739999999999995
NCAA,Oregon,Big Ten,10.5,110,-145,0.47619047619047616,0.59183673469387754,0.44585987261146492,10.2005174328217,81,82.6,0.60250000000000004,1,51.002587164108498,19.068750000000001,70.071337164108499,0.23645545626160452,2.0749468621695903E-2,68.62
NCAA,Indiana,Big Ten,10.5,-105,-120,0.51219512195121952,0.54545454545454541,0.48427672955974843,10.413270272827811,52,65.91,0.54610000000000003,1,52.066351364139052,17.517749999999999,69.584101364139059,0.21582156995045371,1.9636348263209452E-2,68.22
NCAA,Texas,SEC,9.5,105,-135,0.48780487804878048,0.57446808510638303,0.45920859794821689,9.2746590545189385,95,87.92,0.59430000000000005,1,46.373295272594689,18.843250000000001,65.216545272594686,0.25059975090198111,2.1512499981044111E-2,63.81
NCAA,Penn State,Big Ten,8.5,-165,130,0.62264150943396224,0.43478260869565216,0.58882854926299455,8.9939717250562676,85,80.98,0.59760000000000002,1,44.96985862528134,18.934000000000001,63.903858625281345,0.2571675694321604,2.1866809024262805E-2,62.51
NCAA,BYU,Big 12,8.5,-150,115,0.6,0.46511627906976744,0.5633187772925764,8.8506556867269044,56,63.1,0.56289999999999996,1,44.25327843363452,17.979749999999999,62.233028433634516,0.24873849770154846,2.1412092389451444E-2,60.9
NCAA,Alabama,SEC,8.5,-120,-105,0.54545454545454541,0.51219512195121952,0.51572327044025157,8.5867297271721892,100,88.62,0.59630000000000005,1,42.933648635860948,18.898250000000001,61.831898635860952,0.26520696213086081,2.2300503944737121E-2,60.45
