league,team,win_total,over_price,under_price,sportsbook
NCAAF,UAB,3.5,-115,-115,BetMGM
NCAAF,UCF,5.5,-170,130,BetMGM
NCAAF,UCLA,6.5,-110,-115,BetMGM
NCAAF,UL Monroe,3.5,-125,-105,BetMGM
NCAAF,UNLV,7.5,-185,140,BetMGM
NCAAF,USC,8.5,105,-125,BetMGM
NCAAF,Utah,8.5,-135,105,BetMGM
NCAAF,Utah State,4.5,-140,110,BetMGM
NCAAF,UTEP,3.5,110,-140,BetMGM
NCAAF,UTSA,7.5,-125,-105,BetMGM
NCAAF,Vanderbilt,5.5,-155,120,BetMGM
NCAAF,Virginia,7.5,-160,125,BetMGM
NCAAF,Virginia Tech,6.5,-160,125,BetMGM
NCAAF,Wake Forest,5.5,-125,100,BetMGM
NCAAF,Washington,7.5,-160,125,BetMGM
NCAAF,Washington State,4.5,-190,145,BetMGM
NCAAF,West Virginia,5.5,-175,135,BetMGM
NCAAF,Western Kentucky,6.5,-180,135,BetMGM
NCAAF,Western Michigan,7.5,135,-175,BetMGM
NCAAF,Wisconsin,6.5,-125,100,BetMGM
NCAAF,Wyoming,5.5,-110,-120,BetMGM
NFL,Arizona Cardinals,3.5,-145,120,BetMGM
NFL,Atlanta Falcons,7.5,115,-140,BetMGM
NFL,Baltimore Ravens,11.5,118,-140,BetMGM
NFL,Buffalo Bills,10.5,-145,120,BetMGM
NFL,Carolina Panthers,7.5,110,-130,BetMGM
NFL,Chicago Bears,9.5,105,-125,BetMGM
NFL,Cincinnati Bengals,10.5,115,-140,BetMGM
NFL,Cleveland Browns,5.5,-120,100,BetMGM
NFL,Dallas Cowboys,9.5,105,-125,BetMGM
NFL,Denver Broncos,9.5,-125,105,BetMGM
NFL,Detroit Lions,10.5,-130,110,BetMGM
NFL,Green Bay Packers,9.5,-125,105,BetMGM
NFL,Houston Texans,9.5,-125,105,BetMGM
NFL,Indianapolis Colts,7.5,-125,105,BetMGM
NFL,Jacksonville Jaguars,8.5,-140,115,BetMGM
NFL,Kansas City Chiefs,10.5,115,-135,BetMGM
NFL,Las Vegas Raiders,6.5,125,-150,BetMGM
NFL,Los Angeles Chargers,9.5,-140,115,BetMGM
NFL,Los Angeles Rams,11.5,-140,115,BetMGM
NFL,Miami Dolphins,4.5,120,-145,BetMGM
NFL,Minnesota Vikings,8.5,-110,-110,BetMGM
NFL,New England Patriots,10.5,120,-145,BetMGM
NFL,New Orleans Saints,7.5,-125,105,BetMGM
NFL,New York Giants,7.5,-110,-110,BetMGM
NFL,New York Jets,5.5,-110,-110,BetMGM
NFL,Philadelphia Eagles,10.5,120,-145,BetMGM
NFL,Pittsburgh Steelers,8.5,115,-140,BetMGM
NFL,San Francisco 49ers,10.5,105,-125,BetMGM
NFL,Seattle Seahawks,10.5,-125,105,BetMGM
NFL,Tampa Bay Buccaneers,8.5,110,-130,BetMGM
NFL,Tennessee Titans,6.5,-105,-115,BetMGM
NFL,Washington Commanders,7.5,-125,105,DraftKings
